Sr_No,Cust_ID,FCC_FCR_ID,Application_No,Cust_Name,Segment,Application_Status,Type_of_Workflow,Type_of_case,Proj_Finance (Y/N),Zone,RM_Name,RM_ID,Analyst_Name,RBH_Name,RCH_Name,JD/Committee,Final_Approval_Month,#_Iterations,Business_Supervisory_Review_(Y/N),Credit_Supervisory_Review_(Y/N),Date_of_Input,Date_of_Login,Date_of_Circulation,Date_of_BH_Approval,Date_of_CH_Approval,Date_of_Final_Approval,CAM_Creation_TAT,Credit_Review_TAT,Business_Review_TAT,Total_Review_TAT,Committee_TAT,RM_TAT,Final_TAT,Overall_TAT,Current_Exposure,Proposed_Exposure,CAM_Finalization_InDate,CAM_Finalization_TAT
34,CTPT-1158,NA,APP-1033,"Allen, Randolph and Morris",Education,APPROVE,APPWF_RSTBB,Fresh,N,WEST,Mr. Jason Simpson,RM1653,Ricardo Mcknight,Karen Nelson,John Weeks,JDC,May,2,N,Y,27-12-2020,27-12-2020,30-12-2020,03-01-2021,06-01-2021,09-01-2021,5,6,5,16,1,2,19,19,27284843,29946402,09-01-2021,0
35,CTPT-6279,NA,APP-1034,Solomon-Henry,Manufacturing,REJECT,APPWF_BGNBB,Restructuring,Y,WEST,Stephen Singh,RM7919,Lisa Patel,Karen Nelson,Harry Harris,ZCC,January,4,N,N,26-01-2022,26-01-2022,28-01-2022,28-01-2022,NA,NA,2,2,2,6,4,5,15,16,30414146,30246110,NA,NA
36,CTPT-6933,NA,APP-1035,Bennett-Myers,Construction,PENDING,APPWF_RSTBB,Restructuring,N,CENTRAL,Franklin Harrell DDS,RM9485,Ricardo Mcknight,Teresa Aguilar,Richard Ferguson,ZCC,July,7,N,Y,25-06-2024,25-06-2024,26-06-2024,27-06-2024,NA,NA,1,6,7,14,3,5,22,23,25035829,25235975,NA,NA
37,CTPT-3357,FCR-736,APP-1036,Washington-Lucas,Automobile,APPROVE,APPWF_BGNBB,Restructuring,Y,WEST,Brandi Brown,RM4901,Carlos Wilson,Christopher Hawkins,Joan Barry,JDC,December,4,Y,N,08-02-2022,10-02-2022,12-02-2022,12-02-2022,15-02-2022,15-02-2022,7,8,7,22,4,5,31,33,23037197,25180337,17-02-2022,2
38,CTPT-8790,FCR-790,APP-1037,Thompson Ltd,IT Services,REJECT,APPWF_RNWBB,Fresh,N,EAST,Stephen Singh,RM5638,Juan Reeves,Teresa Aguilar,Joseph Hicks,ZCC,January,8,N,N,22-07-2022,22-07-2022,22-07-2022,26-07-2022,NA,NA,5,2,7,14,3,4,21,22,91988329,93085093,NA,NA
39,CTPT-7335,NA,APP-1038,"Cardenas, Figueroa and Weaver",Retail,APPROVE,APPWF_RNWBB,Fresh,N,WEST,Brandi Brown,RM4235,Scott Fox,Christopher Hawkins,Harry Harris,ZCC,March,7,N,Y,11-11-2023,11-11-2023,14-11-2023,18-11-2023,19-11-2023,19-11-2023,1,2,7,10,4,4,18,21,80256328,85233060,22-11-2023,3
40,CTPT-4171,FCR-109,APP-1039,"Lewis, Villarreal and Freeman",Construction,APPROVE,APPWF_RSTBB,Fresh,Y,NORTH,Jonathan Daniel,RM8533,Matthew Horn,Shannon Jackson,Joseph Hicks,BOD,July,8,N,Y,11-11-2024,12-11-2024,12-11-2024,13-11-2024,15-11-2024,18-11-2024,8,7,8,23,5,3,31,31,66670701,66255237,19-11-2024,1
41,CTPT-9143,FCR-260,APP-1040,"Jones, Brock and Bird",Construction,PENDING,APPWF_RNWBB,Restructuring,N,EAST,Sarah Weaver,RM7710,Taylor James,Christopher Hawkins,Harry Harris,BOD,January,2,N,N,04-03-2025,04-03-2025,04-03-2025,06-03-2025,NA,NA,2,7,7,16,3,1,20,22,38263425,43259886,NA,NA
42,CTPT-7208,NA,APP-1041,"Ashley, Jones and Henderson",IT Services,APPROVE,APPWF_BGNBB,Fresh,N,SOUTH,Franklin Harrell DDS,RM8887,Scott Fox,Christopher Hawkins,Harry Harris,JDC,July,10,N,Y,06-07-2018,06-07-2018,09-07-2018,13-07-2018,14-07-2018,15-07-2018,4,5,2,11,3,2,16,16,61366834,61187206,16-07-2018,1
43,CTPT-5912,NA,APP-1042,Davis-Diaz,Construction,PENDING,APPWF_RSTBB,Renewal,N,NORTH,Deanna Jones,RM5536,James Scott,Shannon Jackson,John Weeks,JDC,July,10,N,Y,21-08-2024,23-08-2024,25-08-2024,26-08-2024,NA,NA,3,1,10,14,4,4,22,22,49329569,51677689,NA,NA
44,CTPT-4945,FCR-615,APP-1043,Wright LLC,Education,APPROVE,APPWF_BGNBB,Restructuring,N,EAST,Derek Hamilton,RM2414,Scott Aguilar,Christopher Hawkins,Joseph Hicks,BOD,March,2,Y,N,07-02-2019,09-02-2019,11-02-2019,13-02-2019,14-02-2019,16-02-2019,1,8,10,19,5,5,29,29,52238879,54187449,19-02-2019,3
45,CTPT-7283,NA,APP-1044,"Parker, Jensen and Woods",Retail,APPROVE,APPWF_BGNBB,Fresh,Y,WEST,Franklin Harrell DDS,RM8783,Scott Fox,Karen Nelson,John Weeks,ZCC,November,7,N,N,08-04-2025,09-04-2025,12-04-2025,12-04-2025,15-04-2025,20-04-2025,8,1,6,15,2,1,18,21,96994147,98850102,23-04-2025,3
46,CTPT-6867,NA,APP-1045,Callahan-Nguyen,Education,REJECT,APPWF_BGNBB,Fresh,N,EAST,Sarah Weaver,RM9840,Scott Fox,Teresa Aguilar,John Weeks,BOD,August,6,Y,Y,18-05-2025,18-05-2025,20-05-2025,25-05-2025,NA,NA,3,6,4,13,4,3,20,23,43839561,45955746,NA,NA
47,CTPT-2638,NA,APP-1046,"Hernandez, Johnson and Gonzales",Manufacturing,APPROVE,APPWF_RSTBB,Restructuring,Y,SOUTH,Brandi Brown,RM6889,Keith Kramer,Alexander Ramirez,Joan Barry,FRC,November,2,N,N,19-01-2024,19-01-2024,19-01-2024,21-01-2024,22-01-2024,26-01-2024,4,7,8,19,4,1,24,25,22453017,22460080,26-01-2024,0
48,CTPT-6177,NA,APP-1047,Jimenez-Johnson,Education,PENDING,APPWF_RSTBB,Renewal,Y,EAST,Jon Wiggins,RM4602,Chris Carr,Teresa Aguilar,Joan Barry,BOD,August,1,N,N,30-03-2024,30-03-2024,31-03-2024,01-04-2024,NA,NA,3,8,5,16,2,4,22,23,88473253,91092986,NA,NA
49,CTPT-9150,FCR-918,APP-1048,Hamilton and Sons,Retail,PENDING,APPWF_RSTBB,Restructuring,N,WEST,Joseph Ford,RM9687,Jeffrey White,Christopher Hawkins,Harry Harris,JDC,July,5,N,Y,06-07-2021,08-07-2021,11-07-2021,16-07-2021,NA,NA,1,10,6,17,4,5,26,28,31097849,33623308,NA,NA
50,CTPT-2203,NA,APP-1049,"Ortiz, Buckley and Ramos",Education,PENDING,APPWF_RSTBB,Fresh,Y,SOUTH,Jon Wiggins,RM7776,Jill Mcintosh,Christopher Hawkins,John Weeks,FRC,February,7,Y,N,13-04-2024,13-04-2024,15-04-2024,20-04-2024,NA,NA,3,4,4,11,2,5,18,18,16620444,16635237,NA,NA
51,CTPT-2200,FCR-798,APP-1050,Riley-Hansen,Retail,PENDING,APPWF_RSTBB,Fresh,Y,NORTH,Deanna Jones,RM7656,Scott Fox,Alexander Ramirez,Joan Barry,ZCC,May,8,Y,N,03-01-2025,03-01-2025,03-01-2025,06-01-2025,NA,NA,7,2,10,19,3,2,24,25,7868089,7820310,NA,NA
52,CTPT-6352,NA,APP-1051,Hanson PLC,Pharmaceuticals,APPROVE,APPWF_BGNBB,Renewal,Y,NORTH,Stephen Singh,RM3534,Ricardo Mcknight,Teresa Aguilar,John Weeks,JDC,June,9,N,Y,31-10-2022,31-10-2022,03-11-2022,04-11-2022,04-11-2022,07-11-2022,2,5,1,8,1,4,13,14,98435916,102087135,09-11-2022,2
53,CTPT-3545,NA,APP-1052,"Wang, Ellis and Roberson",Automobile,REJECT,APPWF_RSTBB,Renewal,Y,CENTRAL,Andrea Brown,RM5164,Ian Sweeney,Teresa Aguilar,Richard Ferguson,ZCC,July,5,N,Y,07-08-2019,07-08-2019,09-08-2019,14-08-2019,NA,NA,10,8,3,21,1,5,27,28,77234109,79322612,NA,NA
54,CTPT-3158,NA,APP-1053,Brown-Howard,Pharmaceuticals,REJECT,APPWF_BGNBB,Fresh,Y,NORTH,Brandi Brown,RM2963,Taylor James,Shannon Jackson,Joan Barry,BOD,May,5,Y,N,25-07-2019,26-07-2019,28-07-2019,28-07-2019,NA,NA,8,6,8,22,5,5,32,35,61894679,63689893,NA,NA
55,CTPT-7727,NA,APP-1054,Underwood-Martinez,Education,REJECT,APPWF_RNWBB,Restructuring,N,WEST,Howard Myers,RM7873,Juan Reeves,Alexander Ramirez,Joseph Hicks,BOD,May,9,Y,Y,19-11-2022,21-11-2022,23-11-2022,27-11-2022,NA,NA,1,8,5,14,2,1,17,17,75261247,77718449,NA,NA
56,CTPT-3888,NA,APP-1055,Smith Ltd,Education,PENDING,APPWF_BGNBB,Renewal,N,SOUTH,Kimberly Gillespie,RM8931,Jill Mcintosh,Alexander Ramirez,Joan Barry,BOD,November,10,Y,Y,05-09-2018,07-09-2018,07-09-2018,12-09-2018,NA,NA,9,1,6,16,1,1,18,20,50656179,54664972,NA,NA
57,CTPT-8833,NA,APP-1056,Harris and Sons,Education,REJECT,APPWF_RNWBB,Renewal,N,SOUTH,Derek Hamilton,RM5295,Scott Aguilar,Shannon Jackson,Joseph Hicks,FRC,November,1,N,N,19-06-2024,20-06-2024,20-06-2024,21-06-2024,NA,NA,5,10,7,22,4,5,31,32,26058537,29485204,NA,NA
58,CTPT-3380,FCR-740,APP-1057,Schneider-Hampton,Pharmaceuticals,APPROVE,APPWF_RNWBB,Renewal,N,EAST,Joseph Ford,RM4583,James Scott,Christopher Hawkins,Joan Barry,ZCC,March,3,Y,Y,17-07-2023,17-07-2023,20-07-2023,25-07-2023,26-07-2023,31-07-2023,10,2,10,22,4,5,31,34,21534725,25205577,03-08-2023,3
59,CTPT-3813,NA,APP-1058,Boyer-Tran,Education,PENDING,APPWF_RNWBB,Renewal,Y,NORTH,Jonathan Daniel,RM6881,Scott Aguilar,Christopher Hawkins,Richard Ferguson,JDC,April,4,Y,N,22-03-2025,22-03-2025,22-03-2025,24-03-2025,NA,NA,8,10,5,23,1,3,27,29,8849588,9788936,NA,NA
60,CTPT-9986,NA,APP-1059,Williams-Blackwell,IT Services,REJECT,APPWF_RSTBB,Renewal,Y,WEST,Mr. Jason Simpson,RM6442,Jill Mcintosh,Christopher Hawkins,Joseph Hicks,FRC,February,3,Y,Y,16-11-2018,17-11-2018,20-11-2018,24-11-2018,NA,NA,2,8,3,13,1,4,18,19,99436402,102378117,NA,NA
61,CTPT-6133,NA,APP-1060,Morgan-Lee,Education,APPROVE,APPWF_RSTBB,Restructuring,N,EAST,Justin Walton,RM5229,Megan Madden,Christopher Hawkins,John Weeks,BOD,July,3,Y,N,19-04-2020,20-04-2020,23-04-2020,25-04-2020,28-04-2020,01-05-2020,7,6,9,22,1,4,27,29,53192661,53267939,02-05-2020,1
62,CTPT-4345,FCR-958,APP-1061,Bennett Inc,Pharmaceuticals,PENDING,APPWF_RSTBB,Renewal,N,SOUTH,Adam Ross,RM4802,Jill Mcintosh,Teresa Aguilar,Joan Barry,ZCC,November,3,N,Y,07-07-2023,09-07-2023,10-07-2023,15-07-2023,NA,NA,8,7,6,21,3,2,26,27,2161480,2459828,NA,NA
63,CTPT-8237,NA,APP-1062,"Johnson, Johnson and Riley",Retail,PENDING,APPWF_RNWBB,Renewal,Y,SOUTH,Jonathan Daniel,RM9394,Monica Richardson,Karen Nelson,Harry Harris,JDC,April,7,Y,Y,23-11-2018,23-11-2018,26-11-2018,29-11-2018,NA,NA,9,4,2,15,5,4,24,27,23778174,25078552,NA,NA
64,CTPT-4364,NA,APP-1063,Torres-Mathews,Retail,PENDING,APPWF_RSTBB,Renewal,N,CENTRAL,Steve Jones,RM6865,Lisa Patel,Karen Nelson,Joan Barry,FRC,July,9,Y,Y,18-03-2025,19-03-2025,20-03-2025,25-03-2025,NA,NA,1,9,9,19,3,5,27,27,98438114,99756262,NA,NA
65,CTPT-1766,FCR-408,APP-1064,"Williams, Huerta and Hall",IT Services,PENDING,APPWF_RNWBB,Restructuring,N,EAST,Adam Ross,RM4196,Juan Reeves,Christopher Hawkins,John Weeks,ZCC,May,5,N,N,16-04-2019,17-04-2019,19-04-2019,21-04-2019,NA,NA,7,6,2,15,1,3,19,22,36191808,39075523,NA,NA
66,CTPT-3495,NA,APP-1065,"Joyce, Miles and Hubbard",Construction,APPROVE,APPWF_RSTBB,Renewal,N,WEST,Douglas Mccarthy,RM4143,Jeffrey White,Karen Nelson,Harry Harris,FRC,August,1,N,Y,09-05-2018,10-05-2018,13-05-2018,18-05-2018,18-05-2018,21-05-2018,7,9,1,17,3,4,24,26,41673178,44093690,21-05-2018,0
67,CTPT-5305,NA,APP-1066,Villanueva Inc,Education,APPROVE,APPWF_RNWBB,Fresh,Y,EAST,Kimberly Gillespie,RM6781,Monica Richardson,Alexander Ramirez,John Weeks,FRC,June,10,Y,N,24-10-2023,25-10-2023,28-10-2023,01-11-2023,01-11-2023,05-11-2023,8,4,3,15,4,4,23,26,27710071,29714516,08-11-2023,3
68,CTPT-9162,NA,APP-1067,"Baker, Harper and Burns",IT Services,REJECT,APPWF_RNWBB,Fresh,Y,SOUTH,Franklin Harrell DDS,RM1646,Ricardo Mcknight,Shannon Jackson,Joan Barry,BOD,March,2,Y,N,31-05-2024,02-06-2024,04-06-2024,08-06-2024,NA,NA,8,4,5,17,3,3,23,26,82317039,84867466,NA,NA
69,CTPT-6230,FCR-458,APP-1068,Jones-Wolfe,Automobile,PENDING,APPWF_RNWBB,Renewal,N,EAST,Derek Hamilton,RM1660,Lisa Patel,Alexander Ramirez,Joseph Hicks,JDC,September,3,N,N,31-08-2019,01-09-2019,03-09-2019,07-09-2019,NA,NA,2,6,5,13,2,2,17,17,70934858,72019242,NA,NA
70,CTPT-5254,FCR-907,APP-1069,Oliver LLC,Manufacturing,PENDING,APPWF_BGNBB,Renewal,Y,WEST,Kimberly Gillespie,RM1592,Tammy Moody,Teresa Aguilar,John Weeks,JDC,February,4,N,Y,10-07-2020,10-07-2020,13-07-2020,17-07-2020,NA,NA,4,7,3,14,3,5,22,23,54670292,54266920,NA,NA
71,CTPT-6357,FCR-378,APP-1070,Young PLC,IT Services,PENDING,APPWF_RNWBB,Fresh,Y,NORTH,Jon Wiggins,RM6632,Chris Carr,Shannon Jackson,Joan Barry,ZCC,August,8,N,N,06-07-2020,08-07-2020,08-07-2020,12-07-2020,NA,NA,5,9,5,19,3,4,26,27,4523020,7675979,NA,NA
