Sr_No,Cust_ID,FCC_FCR_ID,Application_No,Cust_Name,Segment,Application_Status,Type_of_Workflow,Type_of_case,Proj_Finance (Y/N),Zone,RM_Name,RM_ID,Analyst_Name,RBH_Name,RCH_Name,JD/Committee,Final_Approval_Month,#_Iterations,Business_Supervisory_Review_(Y/N),Credit_Supervisory_Review_(Y/N),Date_of_Input,Date_of_Login,Date_of_Circulation,Date_of_BH_Approval,Date_of_CH_Approval,Date_of_Final_Approval,CAM_Creation_TAT,Credit_Review_TAT,Business_Review_TAT,Total_Review_TAT,Committee_TAT,RM_TAT,Final_TAT,Overall_TAT,Current_Exposure,Proposed_Exposure,CAM_Finalization_InDate,CAM_Finalization_TAT
11,CTPT-4622,NA,APP-1010,Reynolds Group,Automobile,APPROVE,APPWF_RNWBB,Renewal,Y,EAST,Peter Walker,RM1249,Brianna Wood,Adam Moreno,Jeffrey Phillips,ZCC,February,3,Y,N,23-10-2022,25-10-2022,25-10-2022,29-10-2022,30-10-2022,31-10-2022,2,10,8,20,3,2,25,27,1499545,1083891,01-11-2022,1
12,CTPT-2137,NA,APP-1011,Hernandez Inc,Education,PENDING,APPWF_RNWBB,Restructuring,Y,SOUTH,Elizabeth Townsend,RM7295,Catherine Brewer,Elizabeth Doyle,Dana Vargas,FRC,May,6,N,N,22-01-2023,24-01-2023,25-01-2023,29-01-2023,NA,NA,10,2,2,14,4,2,20,23,14564157,15436352,NA,NA
13,CTPT-1650,FCR-399,APP-1012,Garcia-Townsend,Textiles,APPROVE,APPWF_RSTBB,Restructuring,N,CENTRAL,Wendy Haynes,RM3049,Christy Sanchez,Ralph Horton,Rachel Contreras,BOD,May,3,Y,N,14-08-2020,14-08-2020,16-08-2020,20-08-2020,20-08-2020,25-08-2020,8,1,4,13,2,5,20,21,88737882,92226272,28-08-2020,3
14,CTPT-5171,NA,APP-1013,Thomas Inc,Education,APPROVE,APPWF_RSTBB,Renewal,N,CENTRAL,Elizabeth Townsend,RM7172,Christopher Martin,Elizabeth Doyle,Jennifer Sullivan,ZCC,October,8,N,Y,30-04-2024,01-05-2024,02-05-2024,05-05-2024,05-05-2024,08-05-2024,4,7,8,19,1,5,25,26,63578806,63587496,10-05-2024,2
15,CTPT-9523,NA,APP-1014,Murray and Sons,Retail,APPROVE,APPWF_RNWBB,Renewal,Y,NORTH,Joshua Ramos,RM1759,Corey Johnson,Michael Terry,Jennifer Sullivan,ZCC,August,10,N,N,18-04-2023,19-04-2023,20-04-2023,22-04-2023,25-04-2023,26-04-2023,2,10,3,15,5,1,21,21,89737460,90611219,26-04-2023,0
16,CTPT-9259,NA,APP-1015,Stephens-Edwards,Retail,REJECT,APPWF_BGNBB,Fresh,N,WEST,Tammy Harris,RM4974,Ronald Evans,Adam Moreno,Jeffrey Phillips,JDC,September,1,N,N,19-04-2020,19-04-2020,20-04-2020,25-04-2020,NA,NA,8,2,3,13,1,1,15,18,39714126,41115584,NA,NA
17,CTPT-7994,NA,APP-1016,Smith Group,Automobile,REJECT,APPWF_RNWBB,Fresh,N,EAST,Peter Walker,RM2565,Shannon White,Ralph Horton,Dana Vargas,JDC,December,3,Y,N,31-01-2024,31-01-2024,02-02-2024,06-02-2024,NA,NA,3,5,8,16,4,5,25,28,35580846,38340299,NA,NA
18,CTPT-6856,FCR-345,APP-1017,"Padilla, Murphy and Luna",Education,REJECT,APPWF_RSTBB,Fresh,Y,EAST,Samantha Smith DDS,RM5957,Danny Hoffman,Justin Myers,Dana Vargas,ZCC,December,1,N,Y,01-02-2019,03-02-2019,03-02-2019,06-02-2019,NA,NA,10,7,5,22,1,1,24,27,51758284,51552953,NA,NA
19,CTPT-1973,FCR-551,APP-1018,Allen-Gutierrez,Education,APPROVE,APPWF_RNWBB,Fresh,Y,SOUTH,Christopher Ellis,RM9422,James King,Adam Moreno,Dana Vargas,BOD,March,6,Y,N,03-01-2023,05-01-2023,05-01-2023,06-01-2023,07-01-2023,10-01-2023,6,5,4,15,4,1,20,21,76993700,81041674,13-01-2023,3
20,CTPT-1634,FCR-550,APP-1019,"Miller, Gomez and Kennedy",Education,APPROVE,APPWF_BGNBB,Renewal,N,SOUTH,Tammy Harris,RM2819,Catherine Brewer,Ralph Horton,Stephen Hess,FRC,July,9,N,Y,13-04-2024,14-04-2024,15-04-2024,20-04-2024,22-04-2024,25-04-2024,5,2,8,15,4,3,22,23,98049067,103001671,28-04-2024,3
21,CTPT-4626,NA,APP-1020,Miller PLC,Automobile,PENDING,APPWF_RSTBB,Fresh,Y,EAST,Samantha Smith DDS,RM9924,Christopher Martin,Ralph Horton,Jeffrey Phillips,ZCC,August,9,N,N,03-02-2024,03-02-2024,05-02-2024,05-02-2024,NA,NA,8,10,5,23,4,4,31,33,72482142,72620749,NA,NA
22,CTPT-7990,NA,APP-1021,Benson and Sons,Construction,APPROVE,APPWF_BGNBB,Restructuring,N,EAST,Peter Walker,RM2313,Jason Johnson,Ralph Horton,Jennifer Sullivan,FRC,February,1,Y,N,17-04-2019,19-04-2019,21-04-2019,22-04-2019,25-04-2019,26-04-2019,7,7,10,24,4,4,32,34,38082561,42075507,29-04-2019,3
23,CTPT-4932,NA,APP-1022,Terry Inc,Textiles,APPROVE,APPWF_RNWBB,Renewal,N,CENTRAL,Jeffrey Wallace,RM8913,Corey Johnson,Ralph Horton,Jeffrey Phillips,ZCC,July,2,N,Y,06-11-2023,07-11-2023,07-11-2023,11-11-2023,13-11-2023,17-11-2023,2,1,9,12,5,5,22,23,47914408,48145016,20-11-2023,3
24,CTPT-1328,NA,APP-1023,Cruz-Logan,Pharmaceuticals,APPROVE,APPWF_RSTBB,Restructuring,N,EAST,Edward Rodriguez,RM7308,Max Sanders,Adam Moreno,Jennifer Sullivan,ZCC,November,2,Y,N,02-09-2022,04-09-2022,06-09-2022,10-09-2022,13-09-2022,17-09-2022,7,4,5,16,1,1,18,18,7258345,10291089,17-09-2022,0
25,CTPT-9339,NA,APP-1024,Wiggins LLC,Textiles,APPROVE,APPWF_RNWBB,Restructuring,Y,EAST,Samantha Smith DDS,RM8851,Kathleen Stanley,Elizabeth Doyle,Stephen Hess,ZCC,January,3,N,N,12-05-2025,12-05-2025,14-05-2025,16-05-2025,18-05-2025,21-05-2025,4,6,2,12,2,3,17,17,7508709,11847232,21-05-2025,0
26,CTPT-7404,NA,APP-1025,Coleman Ltd,Retail,PENDING,APPWF_BGNBB,Fresh,N,WEST,Edward Rodriguez,RM7945,Shannon Rivera,Ralph Horton,Rachel Contreras,JDC,February,3,N,Y,26-03-2024,27-03-2024,30-03-2024,02-04-2024,NA,NA,7,8,2,17,4,1,22,25,72151338,76383468,NA,NA
27,CTPT-7615,NA,APP-1026,Gross-Christian,Textiles,PENDING,APPWF_RNWBB,Fresh,N,WEST,Gary Murphy,RM9562,Kathleen Stanley,Ralph Horton,Jennifer Sullivan,JDC,May,9,N,N,25-05-2018,25-05-2018,28-05-2018,02-06-2018,NA,NA,4,10,8,22,2,3,27,29,60990631,62562482,NA,NA
28,CTPT-1719,NA,APP-1027,Rice-Haynes,Retail,REJECT,APPWF_RSTBB,Renewal,N,CENTRAL,Christopher Ellis,RM4044,Christopher Martin,Elizabeth Doyle,Jennifer Sullivan,FRC,February,1,Y,N,08-04-2019,08-04-2019,11-04-2019,16-04-2019,NA,NA,4,2,2,8,4,5,17,20,66628655,69061389,NA,NA
29,CTPT-4780,NA,APP-1028,Nelson Ltd,Education,APPROVE,APPWF_BGNBB,Fresh,N,WEST,Tammy Harris,RM7269,Cassandra Long MD,Elizabeth Doyle,Stephen Hess,ZCC,March,7,N,Y,01-10-2018,02-10-2018,05-10-2018,05-10-2018,07-10-2018,12-10-2018,8,1,10,19,5,5,29,32,84381590,87873226,15-10-2018,3
30,CTPT-4254,NA,APP-1029,Davis LLC,Retail,APPROVE,APPWF_RSTBB,Fresh,Y,NORTH,Wendy Haynes,RM6270,Danny Hoffman,Adam Moreno,Stephen Hess,JDC,May,4,N,N,14-06-2021,15-06-2021,15-06-2021,20-06-2021,23-06-2021,25-06-2021,6,9,4,19,2,2,23,26,5272643,7582670,26-06-2021,1
31,CTPT-7758,NA,APP-1030,"Lam, Mcmillan and Hunt",Textiles,APPROVE,APPWF_BGNBB,Fresh,N,SOUTH,Alexandra Sanders PhD,RM5872,Joshua Shelton,Adam Moreno,Jennifer Sullivan,ZCC,April,1,N,N,17-02-2020,19-02-2020,22-02-2020,26-02-2020,27-02-2020,01-03-2020,2,10,10,22,3,3,28,29,25732605,29856155,04-03-2020,3
32,CTPT-8504,NA,APP-1031,Fields-Rangel,Manufacturing,APPROVE,APPWF_RSTBB,Restructuring,Y,EAST,Tammy Harris,RM8743,Shannon Rivera,Adam Moreno,Dana Vargas,FRC,February,4,Y,N,29-03-2023,31-03-2023,03-04-2023,08-04-2023,11-04-2023,15-04-2023,2,8,7,17,3,5,25,25,37571701,39840642,16-04-2023,1
33,CTPT-7386,NA,APP-1032,Jones and Sons,Automobile,PENDING,APPWF_RNWBB,Restructuring,N,CENTRAL,Joshua Ramos,RM5370,Ross Green,Adam Moreno,Jennifer Sullivan,JDC,October,8,N,Y,18-04-2023,20-04-2023,22-04-2023,27-04-2023,NA,NA,2,10,3,15,1,3,19,20,58599642,59702630,NA,NA
34,CTPT-1934,FCR-510,APP-1033,Torres Ltd,Education,PENDING,APPWF_BGNBB,Restructuring,Y,SOUTH,Elizabeth Townsend,RM3302,William Clark,Adam Moreno,Jeffrey Phillips,ZCC,May,4,N,Y,15-06-2021,15-06-2021,15-06-2021,15-06-2021,NA,NA,3,2,7,12,1,5,18,19,89230476,92048299,NA,NA
35,CTPT-4409,NA,APP-1034,Dorsey-Herring,IT Services,APPROVE,APPWF_BGNBB,Restructuring,Y,SOUTH,Shannon Clark,RM8681,Ronald Evans,Ralph Horton,Dana Vargas,ZCC,March,3,Y,Y,17-02-2024,17-02-2024,18-02-2024,22-02-2024,24-02-2024,27-02-2024,7,8,9,24,1,4,29,32,23350585,24455748,29-02-2024,2
36,CTPT-3738,NA,APP-1035,Perkins-Jones,Education,APPROVE,APPWF_RSTBB,Restructuring,Y,CENTRAL,Samantha Smith DDS,RM5137,Max Sanders,Michael Terry,Jennifer Sullivan,FRC,January,5,N,N,25-10-2024,27-10-2024,28-10-2024,31-10-2024,03-11-2024,08-11-2024,4,9,4,17,4,2,23,23,34728120,37365483,10-11-2024,2
37,CTPT-6287,NA,APP-1036,"Clark, Alvarez and Morris",Education,PENDING,APPWF_RNWBB,Fresh,Y,CENTRAL,Felicia Fisher,RM4089,Danny Hoffman,Justin Myers,Stephen Hess,FRC,July,10,N,N,28-02-2020,28-02-2020,28-02-2020,02-03-2020,NA,NA,9,7,8,24,3,3,30,31,24790902,26088157,NA,NA
38,CTPT-7308,FCR-244,APP-1037,Jordan-Mccoy,Pharmaceuticals,APPROVE,APPWF_BGNBB,Restructuring,Y,EAST,Tammy Harris,RM5315,Shannon Rivera,Justin Myers,Stephen Hess,JDC,May,4,N,Y,04-08-2018,06-08-2018,07-08-2018,08-08-2018,11-08-2018,13-08-2018,4,5,1,10,4,5,19,19,44441475,44116982,13-08-2018,0
39,CTPT-3563,NA,APP-1038,"Ramirez, Atkins and Jones",IT Services,APPROVE,APPWF_RNWBB,Renewal,N,EAST,Tammy Harris,RM8936,Ross Green,Elizabeth Doyle,Stephen Hess,ZCC,April,6,N,Y,18-08-2023,20-08-2023,20-08-2023,25-08-2023,25-08-2023,29-08-2023,3,1,10,14,4,1,19,22,18462865,20064944,30-08-2023,1
40,CTPT-9956,NA,APP-1039,"Gonzalez, Parks and Mills",Education,APPROVE,APPWF_RNWBB,Fresh,N,SOUTH,Edward Rodriguez,RM2420,James King,Michael Terry,Stephen Hess,BOD,January,2,Y,Y,18-08-2023,18-08-2023,19-08-2023,24-08-2023,26-08-2023,28-08-2023,1,10,3,14,2,5,21,23,36785910,40757202,30-08-2023,2
41,CTPT-3945,NA,APP-1040,Landry-Graham,Automobile,PENDING,APPWF_RNWBB,Restructuring,Y,CENTRAL,Tammy Harris,RM2155,Joshua Shelton,Michael Terry,Rachel Contreras,ZCC,November,5,N,N,26-11-2022,26-11-2022,28-11-2022,03-12-2022,NA,NA,6,4,3,13,3,4,20,20,52261802,53410930,NA,NA
42,CTPT-6517,NA,APP-1041,Villanueva and Sons,IT Services,APPROVE,APPWF_RSTBB,Renewal,Y,EAST,Wendy Haynes,RM6053,Danny Hoffman,Adam Moreno,Rachel Contreras,ZCC,October,5,N,N,14-03-2022,15-03-2022,15-03-2022,16-03-2022,18-03-2022,20-03-2022,3,6,9,18,1,3,22,24,63460928,64484915,23-03-2022,3
43,CTPT-5869,FCR-605,APP-1042,Morris Group,Retail,REJECT,APPWF_BGNBB,Fresh,N,NORTH,Christopher Ellis,RM5280,Shannon White,Justin Myers,Rachel Contreras,BOD,April,10,N,Y,13-10-2018,15-10-2018,15-10-2018,17-10-2018,NA,NA,3,8,6,17,3,1,21,22,30376618,30888405,NA,NA
44,CTPT-7593,NA,APP-1043,Ramirez PLC,Automobile,PENDING,APPWF_RSTBB,Restructuring,Y,CENTRAL,Jeffrey Wallace,RM8318,William Clark,Adam Moreno,Stephen Hess,ZCC,June,9,N,Y,08-04-2025,08-04-2025,09-04-2025,09-04-2025,NA,NA,10,10,10,30,5,2,37,37,18336786,22510399,NA,NA
45,CTPT-7894,NA,APP-1044,Lewis and Sons,Automobile,PENDING,APPWF_RSTBB,Restructuring,Y,EAST,Jeffrey Wallace,RM4036,Catherine Brewer,Adam Moreno,Stephen Hess,BOD,June,9,N,N,15-03-2019,17-03-2019,19-03-2019,19-03-2019,NA,NA,3,4,4,11,5,4,20,21,63102140,64608376,NA,NA
46,CTPT-1461,NA,APP-1045,"Henderson, Rodriguez and Collins",Textiles,APPROVE,APPWF_RSTBB,Restructuring,Y,CENTRAL,Edward Rodriguez,RM2087,Shannon White,Ralph Horton,Stephen Hess,BOD,January,1,N,Y,22-06-2023,23-06-2023,24-06-2023,26-06-2023,27-06-2023,27-06-2023,8,9,3,20,4,3,27,30,51165107,54865914,27-06-2023,0
47,CTPT-3997,NA,APP-1046,"Webb, Walters and Arnold",Automobile,APPROVE,APPWF_RSTBB,Fresh,Y,SOUTH,Scott Martin,RM8987,Corey Johnson,Adam Moreno,Jeffrey Phillips,JDC,November,8,N,N,07-01-2021,07-01-2021,08-01-2021,09-01-2021,11-01-2021,11-01-2021,6,5,5,16,2,3,21,22,62869784,63120327,13-01-2021,2
48,CTPT-1606,FCR-776,APP-1047,Gould-Duffy,Pharmaceuticals,APPROVE,APPWF_BGNBB,Fresh,Y,CENTRAL,Wendy Haynes,RM6490,Ross Green,Michael Terry,Rachel Contreras,FRC,January,2,Y,N,10-12-2020,10-12-2020,12-12-2020,12-12-2020,14-12-2020,18-12-2020,7,7,2,16,1,1,18,19,5970192,10897312,18-12-2020,0
49,CTPT-1186,FCR-987,APP-1048,Smith-Frank,IT Services,PENDING,APPWF_BGNBB,Renewal,N,EAST,Elizabeth Townsend,RM7972,Danny Hoffman,Ralph Horton,Jeffrey Phillips,BOD,July,9,Y,Y,09-11-2023,09-11-2023,11-11-2023,16-11-2023,NA,NA,9,1,1,11,5,2,18,19,44191300,47891304,NA,NA
50,CTPT-2191,NA,APP-1049,Finley-Mcdaniel,Education,APPROVE,APPWF_RSTBB,Fresh,Y,CENTRAL,Elizabeth Townsend,RM9597,Willie Lewis,Elizabeth Doyle,Jennifer Sullivan,ZCC,June,5,Y,Y,14-12-2019,15-12-2019,17-12-2019,19-12-2019,22-12-2019,23-12-2019,10,5,9,24,5,5,34,37,7115832,10143142,25-12-2019,2
51,CTPT-3675,NA,APP-1050,"Webster, Collins and Butler",Retail,APPROVE,APPWF_RSTBB,Fresh,Y,WEST,Joshua Ramos,RM7040,Jason Johnson,Justin Myers,Rachel Contreras,JDC,July,2,Y,N,02-06-2022,04-06-2022,05-06-2022,09-06-2022,10-06-2022,10-06-2022,7,10,1,18,5,3,26,27,56338420,57376728,11-06-2022,1
52,CTPT-2049,NA,APP-1051,"Matthews, Dixon and Morgan",Education,APPROVE,APPWF_BGNBB,Renewal,N,NORTH,Elizabeth Townsend,RM9785,Corey Johnson,Elizabeth Doyle,Stephen Hess,ZCC,April,1,Y,N,10-11-2021,11-11-2021,12-11-2021,15-11-2021,15-11-2021,17-11-2021,2,3,10,15,4,4,23,26,77149530,76703264,20-11-2021,3
53,CTPT-2787,NA,APP-1052,Mathews Group,Education,PENDING,APPWF_RSTBB,Restructuring,N,NORTH,Gary Murphy,RM7577,James King,Ralph Horton,Rachel Contreras,BOD,September,2,N,N,29-11-2024,30-11-2024,30-11-2024,01-12-2024,NA,NA,2,6,4,12,4,1,17,18,74640812,74510924,NA,NA
54,CTPT-3885,NA,APP-1053,Scott PLC,Textiles,APPROVE,APPWF_RSTBB,Fresh,N,WEST,Scott Martin,RM4241,Max Sanders,Adam Moreno,Jeffrey Phillips,JDC,March,9,Y,N,19-08-2018,20-08-2018,22-08-2018,26-08-2018,29-08-2018,02-09-2018,1,3,5,9,1,2,12,12,83900474,88408794,02-09-2018,0
55,CTPT-4292,FCR-963,APP-1054,"Combs, Simpson and Chan",IT Services,APPROVE,APPWF_BGNBB,Fresh,N,CENTRAL,Joshua Ramos,RM5013,Danny Hoffman,Justin Myers,Dana Vargas,BOD,July,7,N,N,15-05-2019,16-05-2019,17-05-2019,18-05-2019,20-05-2019,24-05-2019,4,1,6,11,4,3,18,19,36608056,38268807,27-05-2019,3
56,CTPT-7223,NA,APP-1055,"Moody, Armstrong and Rose",Pharmaceuticals,APPROVE,APPWF_BGNBB,Restructuring,N,NORTH,Samantha Smith DDS,RM5851,Joshua Shelton,Michael Terry,Dana Vargas,FRC,March,5,Y,N,19-04-2025,19-04-2025,22-04-2025,23-04-2025,25-04-2025,29-04-2025,8,7,8,23,4,5,32,33,21720657,24219906,29-04-2025,0
57,CTPT-6582,NA,APP-1056,Smith-Stout,Pharmaceuticals,APPROVE,APPWF_RNWBB,Renewal,Y,SOUTH,Scott Martin,RM8337,Christy Sanchez,Michael Terry,Jennifer Sullivan,JDC,October,9,Y,N,03-10-2020,05-10-2020,07-10-2020,08-10-2020,10-10-2020,13-10-2020,10,1,6,17,1,2,20,21,51061959,55467176,14-10-2020,1
58,CTPT-2920,NA,APP-1057,Riley Ltd,Education,REJECT,APPWF_BGNBB,Renewal,Y,NORTH,Tammy Harris,RM8535,Christy Sanchez,Elizabeth Doyle,Rachel Contreras,JDC,August,9,N,N,07-09-2021,07-09-2021,07-09-2021,11-09-2021,NA,NA,3,4,6,13,3,1,17,18,95534535,99404641,NA,NA
59,CTPT-2537,NA,APP-1058,Cortez Group,Automobile,PENDING,APPWF_RNWBB,Renewal,Y,EAST,Samantha Smith DDS,RM8680,Cassandra Long MD,Michael Terry,Jennifer Sullivan,FRC,August,6,Y,N,24-06-2022,25-06-2022,25-06-2022,28-06-2022,NA,NA,10,4,10,24,1,5,30,33,82348893,84883491,NA,NA
60,CTPT-7571,NA,APP-1059,Mccall-Day,Textiles,APPROVE,APPWF_RSTBB,Fresh,N,SOUTH,Elizabeth Townsend,RM1741,Christy Sanchez,Ralph Horton,Rachel Contreras,FRC,February,9,N,Y,24-04-2020,25-04-2020,27-04-2020,28-04-2020,30-04-2020,01-05-2020,4,5,10,19,4,5,28,30,20700938,24608797,04-05-2020,3
61,CTPT-7712,NA,APP-1060,Nelson-Alexander,Education,APPROVE,APPWF_BGNBB,Renewal,N,EAST,Savannah Watts,RM5925,Ross Green,Ralph Horton,Stephen Hess,JDC,July,7,N,Y,02-06-2022,03-06-2022,06-06-2022,10-06-2022,10-06-2022,14-06-2022,6,6,1,13,4,5,22,22,57270033,57814504,16-06-2022,2
62,CTPT-6222,NA,APP-1061,Miller-Hawkins,IT Services,APPROVE,APPWF_RSTBB,Renewal,Y,CENTRAL,Scott Martin,RM5248,Shannon White,Ralph Horton,Stephen Hess,JDC,June,7,N,Y,07-04-2024,08-04-2024,09-04-2024,11-04-2024,11-04-2024,16-04-2024,9,3,5,17,5,5,27,28,92925039,94919216,19-04-2024,3
63,CTPT-5809,NA,APP-1062,David-Weber,Pharmaceuticals,PENDING,APPWF_RSTBB,Restructuring,N,WEST,Samantha Smith DDS,RM2501,Willie Lewis,Ralph Horton,Stephen Hess,FRC,February,6,N,N,17-08-2022,19-08-2022,21-08-2022,22-08-2022,NA,NA,8,10,5,23,5,5,33,34,81986736,85749384,NA,NA
64,CTPT-2228,NA,APP-1063,"Nichols, Davis and Lee",IT Services,PENDING,APPWF_RSTBB,Fresh,N,NORTH,Shannon Clark,RM2496,Crystal Fischer,Justin Myers,Dana Vargas,JDC,October,10,Y,N,02-10-2021,03-10-2021,04-10-2021,04-10-2021,NA,NA,10,10,2,22,2,5,29,30,77879372,82643039,NA,NA
65,CTPT-9507,NA,APP-1064,"Peterson, Hancock and Sampson",Construction,APPROVE,APPWF_RNWBB,Fresh,N,CENTRAL,Wendy Haynes,RM2574,Danny Hoffman,Adam Moreno,Dana Vargas,JDC,November,2,Y,Y,14-01-2021,15-01-2021,15-01-2021,18-01-2021,20-01-2021,22-01-2021,8,3,7,18,3,1,22,23,16733019,21172884,25-01-2021,3
66,CTPT-4006,NA,APP-1065,Shaw-Mcdonald,Education,APPROVE,APPWF_BGNBB,Fresh,Y,SOUTH,Elizabeth Townsend,RM6300,Ross Green,Adam Moreno,Stephen Hess,BOD,November,4,N,N,09-08-2019,11-08-2019,14-08-2019,17-08-2019,20-08-2019,22-08-2019,3,8,9,20,4,2,26,26,71775424,75955097,23-08-2019,1
67,CTPT-5723,NA,APP-1066,Christensen Inc,IT Services,APPROVE,APPWF_RNWBB,Renewal,N,SOUTH,Nancy Beck,RM8480,Joshua Shelton,Ralph Horton,Stephen Hess,JDC,February,9,N,N,02-10-2018,02-10-2018,03-10-2018,06-10-2018,07-10-2018,07-10-2018,9,5,9,23,1,1,25,28,79695018,80290804,08-10-2018,1
68,CTPT-7691,NA,APP-1067,Smith LLC,Retail,REJECT,APPWF_RNWBB,Fresh,Y,EAST,Scott Martin,RM7575,Brianna Wood,Justin Myers,Stephen Hess,FRC,October,3,Y,Y,26-05-2022,28-05-2022,29-05-2022,03-06-2022,NA,NA,3,2,8,13,3,2,18,18,4408029,8535052,NA,NA
69,CTPT-8917,NA,APP-1068,Martin-Jones,Pharmaceuticals,APPROVE,APPWF_RSTBB,Renewal,Y,CENTRAL,Shannon Clark,RM1839,Jason Johnson,Adam Moreno,Jennifer Sullivan,JDC,February,2,Y,Y,02-06-2022,04-06-2022,04-06-2022,07-06-2022,08-06-2022,12-06-2022,3,8,9,20,2,2,24,26,62889324,65007658,14-06-2022,2
70,CTPT-4311,FCR-135,APP-1069,"Garcia, Swanson and Norman",Pharmaceuticals,APPROVE,APPWF_BGNBB,Fresh,Y,EAST,Nancy Beck,RM7353,Catherine Brewer,Adam Moreno,Jeffrey Phillips,ZCC,November,2,Y,Y,12-08-2021,13-08-2021,16-08-2021,16-08-2021,17-08-2021,21-08-2021,9,1,6,16,3,5,24,26,63212392,65005467,22-08-2021,1
71,CTPT-3270,NA,APP-1070,Cruz and Sons,Education,REJECT,APPWF_BGNBB,Restructuring,N,SOUTH,Tiffany Davis,RM9809,Ross Green,Justin Myers,Jennifer Sullivan,FRC,August,2,N,N,06-11-2021,06-11-2021,06-11-2021,06-11-2021,NA,NA,8,1,6,15,4,4,23,23,85456973,89042852,NA,NA
